日,TensorFlow: (日本),PyTorch: (日本),Keras: (日本),Caffe: (日本),Deeplearning4j: (日本)
2017/11/15,15,0,28,0,0
2017/11/16,0,0,45,0,0
2017/11/17,0,25,0,0,0
2017/11/18,0,0,0,0,17
2017/11/19,0,0,0,0,0
2017/11/20,0,16,0,42,0
2017/11/21,21,0,0,0,0
2017/11/22,0,16,0,0,0
2017/11/23,0,15,0,0,0
2017/11/24,0,0,0,0,0
2017/11/25,17,0,0,0,17
2017/11/26,0,33,0,0,0
2017/11/27,0,0,30,23,0
2017/11/28,42,0,0,0,0
2017/11/29,0,0,0,0,0
2017/11/30,20,0,0,16,35
2017/12/1,14,0,18,18,0
2017/12/2,0,0,43,0,0
2017/12/3,0,0,0,18,0
2017/12/4,0,0,0,23,0
2017/12/5,18,22,0,0,0
2017/12/6,0,0,31,0,0
2017/12/7,0,0,0,0,0
2017/12/8,0,0,0,36,0
2017/12/9,0,0,0,0,0
2017/12/10,0,17,0,0,0
2017/12/11,0,0,0,17,42
2017/12/12,0,0,0,0,0
2017/12/13,45,0,0,0,0
2017/12/14,16,0,0,0,0
2017/12/15,15,0,35,44,83
2017/12/16,22,0,0,0,0
2017/12/17,97,0,0,0,0
2017/12/18,14,15,0,0,0
2017/12/19,0,20,0,0,0
2017/12/20,22,0,0,0,0
2017/12/21,23,0,0,0,0
2017/12/22,0,0,0,0,17
2017/12/23,0,0,31,0,0
2017/12/24,16,16,0,0,0
2017/12/25,0,17,0,16,0
2017/12/26,0,29,0,0,0
2017/12/27,18,0,0,0,0
2017/12/28,0,18,0,0,0
2017/12/29,0,35,0,20,0
2017/12/30,0,0,39,0,0
2017/12/31,0,0,0,0,0
2018/1/1,0,0,0,46,0
2018/1/2,0,0,0,0,0
2018/1/3,0,0,0,0,0
2018/1/4,0,21,19,0,0
2018/1/5,0,0,0,0,0
2018/1/6,15,0,36,0,0
2018/1/7,0,0,18,0,0
2018/1/8,0,26,17,0,0
2018/1/9,34,0,55,0,0
2018/1/10,0,0,0,0,0
2018/1/11,0,16,0,0,0
2018/1/12,0,0,0,0,22
2018/1/13,0,23,0,0,0
2018/1/14,0,0,0,0,0
2018/1/15,0,0,0,19,0
2018/1/16,24,0,0,0,0
2018/1/17,15,0,0,0,0
2018/1/18,46,23,0,0,38
2018/1/19,0,30,0,0,0
2018/1/20,0,0,0,0,0
2018/1/21,0,0,0,0,0
2018/1/22,0,15,0,43,0
2018/1/23,23,0,0,0,0
2018/1/24,0,0,0,0,0
2018/1/25,18,0,0,33,0
2018/1/26,0,0,0,0,0
2018/1/27,41,21,0,28,0
2018/1/28,0,0,28,0,0
2018/1/29,20,27,0,0,0
2018/1/30,0,0,16,0,0
2018/1/31,26,0,0,0,35
2018/2/1,48,0,0,0,16
2018/2/2,24,0,0,0,0
2018/2/3,20,0,0,0,23
2018/2/4,0,0,0,15,0
2018/2/5,22,0,19,0,0
2018/2/6,49,0,0,0,0
2018/2/7,0,0,0,16,0
2018/2/8,0,0,17,0,0
2018/2/9,15,0,36,0,0
2018/2/10,0,17,18,0,0
2018/2/11,0,0,0,0,0
2018/2/12,0,0,0,0,0
2018/2/13,0,16,34,0,24
2018/2/14,0,0,0,0,0
2018/2/15,27,0,0,0,0
2018/2/16,0,0,0,0,0
2018/2/17,0,0,0,0,0
2018/2/18,0,0,0,0,81
2018/2/19,30,0,0,16,0
2018/2/20,0,18,18,0,0
2018/2/21,0,0,0,0,0
2018/2/22,0,0,21,0,0
2018/2/23,0,0,24,0,0
2018/2/24,0,0,0,46,0
2018/2/25,0,0,0,0,0
2018/2/26,20,0,25,33,0
2018/2/27,26,16,0,0,35
2018/2/28,40,0,23,0,0
2018/3/1,0,41,0,0,0
2018/3/2,38,0,0,0,0
2018/3/3,0,0,0,0,0
2018/3/4,0,0,0,0,0
2018/3/5,0,0,0,0,38
2018/3/6,0,0,15,15,0
2018/3/7,16,0,0,17,0
2018/3/8,25,0,39,0,0
2018/3/9,31,0,0,0,0
2018/3/10,0,0,0,0,0
2018/3/11,0,0,0,0,0
2018/3/12,0,0,0,0,0
2018/3/13,36,0,0,0,28
2018/3/14,38,0,0,0,0
2018/3/15,17,0,0,0,0
2018/3/16,0,0,0,0,0
2018/3/17,0,18,0,0,0
2018/3/18,28,37,15,0,0
2018/3/19,0,0,0,17,0
2018/3/20,17,0,0,25,24
